journal,first_decision,acceptance_rate,first_review,online_publication
<a href='https://www.tandfonline.com/rabd20'>African and Black Diaspora: An International Journal</a>,54,7%,,
"<a href='https://www.tandfonline.com/rajs20'>African Journal of Science, Technology, Innovation and Development</a>",13,22%,86,56
<a href='https://www.tandfonline.com/uafs20'>African Security</a>,52,22%,186,24
<a href='https://www.tandfonline.com/rasr20'>African Security Review</a>,40,36%,56,28
<a href='https://www.tandfonline.com/yaaa20'>Arms & Armour</a>,,,,34
<a href='https://www.tandfonline.com/rapa20'>Asia Pacific Journal of Public Administration</a>,10,18%,50,44
<a href='https://www.tandfonline.com/rage20'>Asian Geographer</a>,49,38%,64,14
<a href='https://www.tandfonline.com/rasi20'>Asian Journal of Political Science</a>,107,7%,106,15
<a href='https://www.tandfonline.com/fasi20'>Asian Security</a>,84,21%,120,21
<a href='https://www.tandfonline.com/fast20'>Astropolitics</a>,138,57%,94,39
<a href='https://www.tandfonline.com/caji20'>Australian Journal of International Affairs</a>,7,19%,50,15
<a href='https://www.tandfonline.com/ramo20'>Australian Journal of Maritime & Ocean Affairs</a>,45,51%,51,14
<a href='https://www.tandfonline.com/cajp20'>Australian Journal of Political Science</a>,0,27%,149,18
<a href='https://www.tandfonline.com/rbec20'>Baltic Journal of Economics</a>,4,6%,96,
<a href='https://www.tandfonline.com/rirt20'>Behavioral Sciences of Terrorism and Political Aggression</a>,46,39%,58,18
<a href='https://www.tandfonline.com/rtbs20'>The Black Scholar</a>,37,55%,108,108
<a href='https://www.tandfonline.com/cbie20'>Bulletin of Indonesian Economic Studies</a>,23,6%,73,53
<a href='https://www.tandfonline.com/ccam20'>Cambridge Review of International Affairs</a>,52,18%,90,21
<a href='https://www.tandfonline.com/rcfp20'>Canadian Foreign Policy Journal</a>,41,51%,97,40
<a href='https://www.tandfonline.com/ccas20'>Central Asian Survey</a>,18,32%,68,41
<a href='https://www.tandfonline.com/ccst20'>Citizenship Studies</a>,38,21%,110,18
<a href='https://www.tandfonline.com/fciv20'>Civil Wars</a>,92,40%,140,36
<a href='https://www.tandfonline.com/tcld20'>Climate and Development</a>,24,15%,108,24
<a href='https://www.tandfonline.com/tcpo20'>Climate Policy</a>,0,21%,96,21
<a href='https://www.tandfonline.com/oass20'>Cogent Social Sciences</a>,28,22%,124,21
<a href='https://www.tandfonline.com/fccp20'>Commonwealth & Comparative Politics</a>,68,21%,99,29
<a href='https://www.tandfonline.com/ucst20'>Comparative Strategy</a>,,,,76
"<a href='https://www.tandfonline.com/ccsd20'>Conflict, Security & Development</a>",,,,29
<a href='https://www.tandfonline.com/uctp20'>Congress & the Presidency</a>,12,40%,65,29
<a href='https://www.tandfonline.com/fcbh20'>Contemporary British History</a>,56,65%,92,19
<a href='https://www.tandfonline.com/rita20'>Contemporary Italian Politics</a>,122,54%,111,17
<a href='https://www.tandfonline.com/ccpo20'>Contemporary Politics</a>,13,19%,82,14
<a href='https://www.tandfonline.com/fcsp20'>Contemporary Security Policy</a>,4,14%,54,14
<a href='https://www.tandfonline.com/rsoc21'>Contemporary Social Science</a>,0,15%,89,17
<a href='https://www.tandfonline.com/rcaf20'>Critical African Studies</a>,115,30%,174,30
